state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Washington,2017-12-31,60,86,29,46,33,0,0,0,0,0
Washington,2018-01-07,64,80,25,45,45,0,0,0,0,0
Washington,2018-01-14,83,79,33,44,47,0,0,0,0,0
Washington,2018-01-21,77,82,31,44,48,0,0,0,0,0
Washington,2018-01-28,71,90,37,47,50,0,0,0,0,0
Washington,2018-02-04,72,79,27,52,47,0,0,0,0,0
Washington,2018-02-11,74,74,28,39,45,0,0,0,0,0
Washington,2018-02-18,70,80,35,41,48,0,0,0,0,0
Washington,2018-02-25,86,85,31,58,49,0,0,0,0,0
Washington,2018-03-04,79,93,32,49,50,0,0,0,0,0
Washington,2018-03-11,77,85,31,46,50,0,0,0,0,0
Washington,2018-03-18,79,82,31,52,51,0,0,0,0,0
Washington,2018-03-25,73,82,33,34,48,0,0,0,0,0
Washington,2018-04-01,69,76,22,45,38,0,0,0,0,0
Washington,2018-04-08,71,86,27,49,42,0,0,0,0,0
Washington,2018-04-15,74,85,30,46,44,0,0,0,0,0
Washington,2018-04-22,76,80,32,47,38,0,0,0,0,0
Washington,2018-04-29,74,81,22,52,46,0,0,0,0,0
Washington,2018-05-06,77,81,24,41,39,0,0,0,0,0
Washington,2018-05-13,69,84,32,44,45,0,0,0,0,0
Washington,2018-05-20,78,70,27,44,47,0,0,0,0,0
Washington,2018-05-27,75,73,27,52,38,0,0,0,0,0
Washington,2018-06-03,87,84,26,44,47,0,0,0,0,0
Washington,2018-06-10,84,85,23,43,50,0,0,0,0,0
Washington,2018-06-17,61,73,29,45,42,0,0,0,0,0
Washington,2018-06-24,63,85,25,42,42,0,0,0,0,0
Washington,2018-07-01,64,85,19,40,33,0,0,0,0,0
Washington,2018-07-08,54,75,28,36,38,0,0,0,0,0
Washington,2018-07-15,59,76,29,41,46,0,0,0,0,0
Washington,2018-07-22,57,77,25,40,39,0,0,0,0,0
