state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions,covid_restrictions
Alaska,2017-12-31,28.0,46.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-01-07,37.0,45.0,25.0,65.0,37.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-01-14,10.0,46.0,16.0,53.0,30.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-01-21,33.0,41.0,10.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-01-28,32.0,24.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-02-04,35.0,43.0,14.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-02-11,51.0,40.0,0.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-02-18,40.0,34.0,18.0,11.0,40.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-02-25,45.0,61.0,11.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-03-04,44.0,51.0,9.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-03-11,34.0,38.0,15.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-03-18,38.0,60.0,20.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-03-25,11.0,25.0,0.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-04-01,56.0,58.0,21.0,72.0,31.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-04-08,61.0,40.0,17.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-04-15,10.0,47.0,11.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-04-22,28.0,81.0,15.0,39.0,26.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-04-29,24.0,53.0,14.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-05-06,44.0,58.0,9.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-05-13,50.0,40.0,11.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-05-20,38.0,42.0,16.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-05-27,38.0,38.0,0.0,30.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-06-03,51.0,67.0,11.0,40.0,24.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-06-10,55.0,37.0,22.0,22.0,41.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-06-17,18.0,27.0,25.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-06-24,31.0,16.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-07-01,33.0,25.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-07-08,34.0,24.0,13.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-07-15,15.0,26.0,25.0,22.0,27.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-07-22,32.0,37.0,12.0,25.0,14.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-07-29,22.0,40.0,22.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-08-05,24.0,76.0,22.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-08-12,47.0,42.0,24.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-08-19,36.0,59.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-08-26,38.0,31.0,11.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-09-02,37.0,90.0,17.0,48.0,54.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-09-09,26.0,28.0,18.0,39.0,43.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-09-16,77.0,36.0,26.0,33.0,20.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-09-23,38.0,45.0,16.0,31.0,39.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-09-30,30.0,40.0,0.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-10-07,54.0,60.0,15.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-10-14,35.0,53.0,23.0,36.0,46.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-10-21,75.0,45.0,11.0,41.0,44.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-10-28,46.0,54.0,10.0,46.0,9.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-11-04,19.0,50.0,19.0,51.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-11-11,38.0,63.0,25.0,41.0,39.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-11-18,42.0,42.0,9.0,47.0,26.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-11-25,41.0,45.0,0.0,33.0,38.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-12-02,43.0,58.0,17.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-12-09,58.0,65.0,10.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-12-16,47.0,63.0,0.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-12-23,46.0,36.0,15.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2018-12-30,40.0,40.0,33.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-01-06,20.0,51.0,28.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-01-13,63.0,52.0,0.0,42.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-01-20,55.0,51.0,20.0,57.0,22.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-01-27,46.0,60.0,18.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-02-03,44.0,35.0,14.0,41.0,51.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-02-10,73.0,51.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-02-17,54.0,43.0,40.0,62.0,31.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-02-24,36.0,55.0,21.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-03-03,53.0,58.0,13.0,61.0,43.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-03-10,51.0,40.0,0.0,76.0,31.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-03-17,38.0,55.0,0.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-03-24,52.0,64.0,28.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-03-31,63.0,54.0,17.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-04-07,30.0,40.0,8.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-04-14,56.0,75.0,41.0,56.0,27.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-04-21,33.0,38.0,0.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-04-28,38.0,34.0,10.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-05-05,38.0,34.0,0.0,50.0,21.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-05-12,45.0,0.0,14.0,45.0,37.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-05-19,64.0,39.0,26.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-05-26,19.0,58.0,0.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-06-02,34.0,50.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-06-09,42.0,22.0,0.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-06-16,19.0,35.0,22.0,40.0,54.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-06-23,24.0,40.0,8.0,39.0,29.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-06-30,39.0,24.0,16.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-07-07,18.0,38.0,27.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-07-14,33.0,32.0,21.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-07-21,48.0,46.0,49.0,36.0,30.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-07-28,25.0,53.0,27.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-08-04,53.0,38.0,0.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-08-11,26.0,30.0,24.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-08-18,24.0,35.0,0.0,37.0,41.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-08-25,7.0,54.0,14.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-09-01,33.0,29.0,21.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
Alaska,2019-09-08,37.0,44.0,20.0,34.0,32.0,0.0,0.0,0.0,0.0,0.0,Most Restrictions
