state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,bars_restaurants_closures,retail_closure,travel_restrictions
Arizona ,2017-12-31,61,76,26,30,16,0,0,0,0,0,0
Arizona ,2018-01-07,58,79,29,34,16,0,0,0,0,0,0
Arizona ,2018-01-14,64,65,28,38,25,0,0,0,0,0,0
Arizona ,2018-01-21,75,72,28,32,27,0,0,0,0,0,0
Arizona ,2018-01-28,66,73,25,41,27,0,0,0,0,0,0
Arizona ,2018-02-04,75,72,28,37,25,0,0,0,0,0,0
Arizona ,2018-02-11,71,70,33,38,34,0,0,0,0,0,0
Arizona ,2018-02-18,66,74,35,40,32,0,0,0,0,0,0
Arizona ,2018-02-25,83,68,34,42,39,0,0,0,0,0,0
Arizona ,2018-03-04,85,78,28,34,30,0,0,0,0,0,0
Arizona ,2018-03-11,63,64,21,37,28,0,0,0,0,0,0
Arizona ,2018-03-18,70,75,24,39,26,0,0,0,0,0,0
Arizona ,2018-03-25,72,68,28,40,28,0,0,0,0,0,0
Arizona ,2018-04-01,73,73,29,39,26,0,0,0,0,0,0
Arizona ,2018-04-08,78,72,38,31,32,0,0,0,0,0,0
Arizona ,2018-04-15,80,78,22,35,25,0,0,0,0,0,0
Arizona ,2018-04-22,70,69,32,36,35,0,0,0,0,0,0
Arizona ,2018-04-29,76,83,31,32,28,0,0,0,0,0,0
Arizona ,2018-05-06,89,78,35,36,33,0,0,0,0,0,0
Arizona ,2018-05-13,77,77,36,40,26,0,0,0,0,0,0
Arizona ,2018-05-20,62,85,24,37,29,0,0,0,0,0,0
Arizona ,2018-05-27,54,74,28,38,27,0,0,0,0,0,0
Arizona ,2018-06-03,77,68,22,32,31,0,0,0,0,0,0
Arizona ,2018-06-10,71,77,23,39,29,0,0,0,0,0,0
Arizona ,2018-06-17,70,83,28,46,31,0,0,0,0,0,0
Arizona ,2018-06-24,58,76,30,35,23,0,0,0,0,0,0
Arizona ,2018-07-01,56,81,26,35,23,0,0,0,0,0,0
Arizona ,2018-07-08,67,93,30,37,28,0,0,0,0,0,0
