state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
California,2017-12-31,53,72,26,29,25,0,0,0,0,0
California,2018-01-07,65,77,26,32,34,0,0,0,0,0
California,2018-01-14,66,72,28,33,35,0,0,0,0,0
California,2018-01-21,79,77,27,36,34,0,0,0,0,0
California,2018-01-28,83,81,28,34,37,0,0,0,0,0
California,2018-02-04,86,79,28,34,34,0,0,0,0,0
California,2018-02-11,81,77,32,32,39,0,0,0,0,0
California,2018-02-18,77,77,30,29,40,0,0,0,0,0
California,2018-02-25,87,80,35,30,35,0,0,0,0,0
California,2018-03-04,86,85,32,33,40,0,0,0,0,0
California,2018-03-11,86,81,27,30,37,0,0,0,0,0
California,2018-03-18,84,83,27,29,36,0,0,0,0,0
California,2018-03-25,70,78,25,29,33,0,0,0,0,0
California,2018-04-01,73,82,26,29,34,0,0,0,0,0
California,2018-04-08,80,80,29,33,37,0,0,0,0,0
California,2018-04-15,77,85,29,37,36,0,0,0,0,0
California,2018-04-22,79,78,26,35,38,0,0,0,0,0
California,2018-04-29,74,84,28,35,43,0,0,0,0,0
California,2018-05-06,83,80,29,34,42,0,0,0,0,0
California,2018-05-13,80,83,33,31,41,0,0,0,0,0
California,2018-05-20,85,81,27,35,38,0,0,0,0,0
California,2018-05-27,71,82,28,32,35,0,0,0,0,0
California,2018-06-03,85,79,28,33,40,0,0,0,0,0
California,2018-06-10,75,76,22,33,36,0,0,0,0,0
California,2018-06-17,67,81,27,32,33,0,0,0,0,0
California,2018-06-24,65,83,25,30,34,0,0,0,0,0
California,2018-07-01,60,82,24,25,28,0,0,0,0,0
California,2018-07-08,64,83,26,33,35,0,0,0,0,0
California,2018-07-15,67,88,26,33,37,0,0,0,0,0
California,2018-07-22,64,78,28,33,36,0,0,0,0,0
California,2018-07-29,63,88,26,35,35,0,0,0,0,0
California,2018-08-05,58,89,25,35,32,0,0,0,0,0
California,2018-08-12,64,83,24,38,36,0,0,0,0,0
California,2018-08-19,62,83,25,38,36,0,0,0,0,0
California,2018-08-26,63,83,25,39,37,0,0,0,0,0
California,2018-09-02,67,81,24,36,35,0,0,0,0,0
California,2018-09-09,68,85,25,34,40,0,0,0,0,0
California,2018-09-16,76,87,24,31,40,0,0,0,0,0
California,2018-09-23,76,86,24,33,42,0,0,0,0,0
California,2018-09-30,75,90,25,34,41,0,0,0,0,0
California,2018-10-07,75,89,25,35,57,0,0,0,0,0
California,2018-10-14,71,86,26,36,39,0,0,0,0,0
California,2018-10-21,75,85,24,34,42,0,0,0,0,0
California,2018-10-28,78,82,27,34,41,0,0,0,0,0
California,2018-11-04,74,81,27,33,41,0,0,0,0,0
California,2018-11-11,77,81,25,34,38,0,0,0,0,0
California,2018-11-18,59,70,25,23,30,0,0,0,0,0
California,2018-11-25,81,86,28,37,39,0,0,0,0,0
California,2018-12-02,82,79,26,28,44,0,0,0,0,0
California,2018-12-09,86,85,26,35,41,0,0,0,0,0
California,2018-12-16,69,76,23,28,39,0,0,0,0,0
California,2018-12-23,52,69,24,19,22,0,0,0,0,0
California,2018-12-30,58,75,24,27,29,0,0,0,0,0
California,2019-01-06,70,82,25,37,39,0,0,0,0,0
California,2019-01-13,80,83,25,37,38,0,0,0,0,0
California,2019-01-20,77,82,25,37,38,0,0,0,0,0
California,2019-01-27,84,85,27,33,40,0,0,0,0,0
California,2019-02-03,93,85,24,34,41,0,0,0,0,0
California,2019-02-10,85,81,27,35,41,0,0,0,0,0
California,2019-02-17,84,81,24,32,41,0,0,0,0,0
California,2019-02-24,90,83,23,36,40,0,0,0,0,0
California,2019-03-03,92,86,26,32,43,0,0,0,0,0
California,2019-03-10,89,88,25,35,41,0,0,0,0,0
California,2019-03-17,87,89,29,33,44,0,0,0,0,0
California,2019-03-24,84,89,27,32,43,0,0,0,0,0
California,2019-03-31,85,83,31,32,42,0,0,0,0,0
California,2019-04-07,75,82,29,33,45,0,0,0,0,0
California,2019-04-14,78,79,30,32,41,0,0,0,0,0
California,2019-04-21,82,83,30,34,47,0,0,0,0,0
California,2019-04-28,78,80,28,38,53,0,0,0,0,0
California,2019-05-05,79,81,31,34,52,0,0,0,0,0
California,2019-05-12,76,82,28,37,53,0,0,0,0,0
California,2019-05-19,78,81,31,36,49,0,0,0,0,0
California,2019-05-26,79,78,28,33,41,0,0,0,0,0
California,2019-06-02,67,77,26,34,40,0,0,0,0,0
California,2019-06-09,59,80,26,34,41,0,0,0,0,0
California,2019-06-16,60,76,25,36,38,0,0,0,0,0
California,2019-06-23,64,86,26,32,35,0,0,0,0,0
California,2019-06-30,55,80,25,30,34,0,0,0,0,0
California,2019-07-07,58,85,24,33,41,0,0,0,0,0
