week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2017-12-31,50.4,60.9,23.8,30.0,18.7,0.0,0.0,0.0,0.0,0.0
2018-01-07,57.1,62.3,23.3,32.6,27.0,0.0,0.0,0.0,0.0,0.0
2018-01-14,53.7,59.1,22.5,36.6,29.6,0.0,0.0,0.0,0.0,0.0
2018-01-21,63.6,63.4,23.2,36.2,28.2,0.0,0.0,0.0,0.0,0.0
2018-01-28,61.3,62.3,23.6,36.0,25.6,0.0,0.0,0.0,0.0,0.0
2018-02-04,64.5,61.1,25.6,40.0,29.4,0.0,0.0,0.0,0.0,0.0
2018-02-11,63.2,61.9,24.5,35.3,34.7,0.0,0.0,0.0,0.0,0.0
2018-02-18,59.5,63.3,27.5,32.3,35.0,0.0,0.0,0.0,0.0,0.0
2018-02-25,68.2,65.0,28.6,36.5,33.0,0.0,0.0,0.0,0.0,0.0
2018-03-04,66.2,67.3,25.1,33.9,32.2,0.0,0.0,0.0,0.0,0.0
2018-03-11,63.1,59.9,22.9,33.2,28.7,0.0,0.0,0.0,0.0,0.0
2018-03-18,63.4,67.1,28.1,34.9,30.6,0.0,0.0,0.0,0.0,0.0
2018-03-25,58.8,61.0,21.1,33.6,33.5,0.0,0.0,0.0,0.0,0.0
2018-04-01,63.9,65.9,22.7,38.7,29.6,0.0,0.0,0.0,0.0,0.0
2018-04-08,65.9,63.5,24.9,34.3,32.0,0.0,0.0,0.0,0.0,0.0
2018-04-15,62.9,63.8,22.8,34.3,26.8,0.0,0.0,0.0,0.0,0.0
2018-04-22,61.0,68.9,23.1,32.2,34.5,0.0,0.0,0.0,0.0,0.0
2018-04-29,61.1,68.0,24.5,33.1,32.6,0.0,0.0,0.0,0.0,0.0
2018-05-06,62.1,63.0,21.7,30.6,31.2,0.0,0.0,0.0,0.0,0.0
2018-05-13,61.4,60.6,28.3,32.0,28.3,0.0,0.0,0.0,0.0,0.0
