state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Florida,2017-12-31,22,28,11,14,12,0,0,0,0,0
Florida,2018-01-07,30,34,13,16,14,0,0,0,0,0
Florida,2018-01-14,31,34,12,14,17,0,0,0,0,0
Florida,2018-01-21,32,35,12,17,15,0,0,0,0,0
Florida,2018-01-28,32,34,13,17,15,0,0,0,0,0
Florida,2018-02-04,33,33,15,14,14,0,0,0,0,0
Florida,2018-02-11,30,33,14,17,20,0,0,0,0,0
Florida,2018-02-18,30,31,13,16,20,0,0,0,0,0
Florida,2018-02-25,33,35,16,15,18,0,0,0,0,0
Florida,2018-03-04,31,34,14,17,17,0,0,0,0,0
Florida,2018-03-11,33,32,12,14,14,0,0,0,0,0
Florida,2018-03-18,30,34,12,14,15,0,0,0,0,0
Florida,2018-03-25,30,32,13,16,17,0,0,0,0,0
Florida,2018-04-01,33,36,13,15,17,0,0,0,0,0
Florida,2018-04-08,33,36,13,15,16,0,0,0,0,0
Florida,2018-04-15,35,36,12,16,17,0,0,0,0,0
Florida,2018-04-22,31,39,14,15,17,0,0,0,0,0
Florida,2018-04-29,31,38,13,16,17,0,0,0,0,0
Florida,2018-05-06,32,35,13,14,17,0,0,0,0,0
Florida,2018-05-13,32,32,14,14,16,0,0,0,0,0
Florida,2018-05-20,40,32,13,15,16,0,0,0,0,0
Florida,2018-05-27,32,34,14,14,16,0,0,0,0,0
Florida,2018-06-03,32,35,12,17,18,0,0,0,0,0
Florida,2018-06-10,34,37,13,15,19,0,0,0,0,0
Florida,2018-06-17,29,35,12,15,18,0,0,0,0,0
Florida,2018-06-24,29,36,12,14,14,0,0,0,0,0
Florida,2018-07-01,31,37,14,14,13,0,0,0,0,0
Florida,2018-07-08,27,41,13,16,17,0,0,0,0,0
Florida,2018-07-15,30,37,13,17,14,0,0,0,0,0
Florida,2018-07-22,28,37,13,18,16,0,0,0,0,0
Florida,2018-07-29,29,39,14,14,16,0,0,0,0,0
Florida,2018-08-05,27,38,12,16,15,0,0,0,0,0
Florida,2018-08-12,26,39,12,15,13,0,0,0,0,0
Florida,2018-08-19,26,38,11,18,16,0,0,0,0,0
Florida,2018-08-26,31,38,12,17,16,0,0,0,0,0
Florida,2018-09-02,34,35,13,16,16,0,0,0,0,0
Florida,2018-09-09,29,37,14,16,19,0,0,0,0,0
Florida,2018-09-16,34,38,11,17,17,0,0,0,0,0
Florida,2018-09-23,33,37,14,18,18,0,0,0,0,0
Florida,2018-09-30,34,40,11,19,20,0,0,0,0,0
Florida,2018-10-07,35,36,12,17,24,0,0,0,0,0
Florida,2018-10-14,32,37,13,17,17,0,0,0,0,0
Florida,2018-10-21,29,39,13,16,18,0,0,0,0,0
Florida,2018-10-28,32,36,9,15,17,0,0,0,0,0
Florida,2018-11-04,34,39,12,16,18,0,0,0,0,0
Florida,2018-11-11,35,39,10,15,16,0,0,0,0,0
Florida,2018-11-18,27,33,10,11,13,0,0,0,0,0
Florida,2018-11-25,35,38,13,18,16,0,0,0,0,0
Florida,2018-12-02,32,34,12,15,17,0,0,0,0,0
Florida,2018-12-09,35,35,11,13,14,0,0,0,0,0
Florida,2018-12-16,32,34,12,13,14,0,0,0,0,0
Florida,2018-12-23,27,31,11,8,11,0,0,0,0,0
Florida,2018-12-30,28,38,12,12,15,0,0,0,0,0
Florida,2019-01-06,29,36,11,19,14,0,0,0,0,0
Florida,2019-01-13,33,36,11,18,16,0,0,0,0,0
Florida,2019-01-20,31,37,10,16,15,0,0,0,0,0
Florida,2019-01-27,34,38,13,17,17,0,0,0,0,0
Florida,2019-02-03,35,39,11,17,17,0,0,0,0,0
Florida,2019-02-10,32,35,12,16,16,0,0,0,0,0
Florida,2019-02-17,36,38,13,16,16,0,0,0,0,0
Florida,2019-02-24,33,37,12,15,17,0,0,0,0,0
Florida,2019-03-03,37,38,12,17,18,0,0,0,0,0
Florida,2019-03-10,34,36,12,16,16,0,0,0,0,0
Florida,2019-03-17,32,36,14,15,16,0,0,0,0,0
Florida,2019-03-24,34,38,13,16,18,0,0,0,0,0
Florida,2019-03-31,33,37,13,18,18,0,0,0,0,0
Florida,2019-04-07,33,34,15,18,20,0,0,0,0,0
Florida,2019-04-14,32,35,13,18,18,0,0,0,0,0
Florida,2019-04-21,34,35,13,18,19,0,0,0,0,0
Florida,2019-04-28,32,40,13,17,22,0,0,0,0,0
Florida,2019-05-05,31,36,13,15,20,0,0,0,0,0
Florida,2019-05-12,30,36,12,17,20,0,0,0,0,0
Florida,2019-05-19,33,38,14,14,17,0,0,0,0,0
Florida,2019-05-26,29,35,13,15,16,0,0,0,0,0
Florida,2019-06-02,27,37,13,16,17,0,0,0,0,0
Florida,2019-06-09,27,40,14,16,17,0,0,0,0,0
Florida,2019-06-16,27,35,14,18,18,0,0,0,0,0
Florida,2019-06-23,30,38,11,15,17,0,0,0,0,0
Florida,2019-06-30,26,34,14,14,15,0,0,0,0,0
Florida,2019-07-07,38,38,12,16,18,0,0,0,0,0
Florida,2019-07-14,29,38,12,17,17,0,0,0,0,0
Florida,2019-07-21,38,38,13,18,17,0,0,0,0,0
Florida,2019-07-28,34,38,15,20,18,0,0,0,0,0
Florida,2019-08-04,27,38,12,19,19,0,0,0,0,0
Florida,2019-08-11,27,38,11,18,20,0,0,0,0,0
Florida,2019-08-18,33,39,11,19,18,0,0,0,0,0
Florida,2019-08-25,31,34,11,15,15,0,0,0,0,0
Florida,2019-09-01,29,32,10,17,14,0,0,0,0,0
Florida,2019-09-08,40,39,11,20,20,0,0,0,0,0
Florida,2019-09-15,36,39,13,19,18,0,0,0,0,0
Florida,2019-09-22,32,36,11,18,19,0,0,0,0,0
Florida,2019-09-29,32,39,13,20,20,0,0,0,0,0
Florida,2019-10-06,31,39,10,18,28,0,0,0,0,0
Florida,2019-10-13,35,38,11,17,19,0,0,0,0,0
Florida,2019-10-20,30,39,11,18,19,0,0,0,0,0
Florida,2019-10-27,29,37,12,18,21,0,0,0,0,0
Florida,2019-11-03,31,38,12,16,19,0,0,0,0,0
Florida,2019-11-10,31,38,11,16,20,0,0,0,0,0
Florida,2019-11-17,32,35,11,16,18,0,0,0,0,0
Florida,2019-11-24,30,33,11,12,15,0,0,0,0,0
Florida,2019-12-01,34,37,10,18,19,0,0,0,0,0
Florida,2019-12-08,32,37,12,15,16,0,0,0,0,0
Florida,2019-12-15,27,31,9,14,14,0,0,0,0,0
Florida,2019-12-22,21,30,10,10,9,0,0,0,0,0
Florida,2019-12-29,23,33,11,14,13,0,0,0,0,0
Florida,2020-01-05,28,32,10,18,16,0,0,0,0,0
Florida,2020-01-12,30,38,11,18,18,0,0,0,0,0
Florida,2020-01-19,29,35,11,17,19,0,0,0,0,0
Florida,2020-01-26,29,36,12,17,18,0,0,0,0,0
Florida,2020-02-02,31,36,12,17,20,0,0,0,0,0
Florida,2020-02-09,29,35,11,18,19,0,0,0,0,0
Florida,2020-02-16,30,39,13,17,19,0,0,0,0,0
Florida,2020-02-23,31,34,13,18,22,0,0,0,0,0
Florida,2020-03-01,31,35,12,16,17,0,0,0,0,0
Florida,2020-03-08,30,33,11,16,18,0,0,0,0,0
Florida,2020-03-15,36,32,10,12,14,0,0,0,0,0
Florida,2020-03-22,32,39,12,13,15,0,0,0,0,0
Florida,2020-03-29,38,38,11,11,14,0,0,0,0,1
Florida,2020-04-05,37,34,12,10,17,1,0,1,1,1
Florida,2020-04-12,40,36,11,13,17,1,0,1,1,1
Florida,2020-04-19,38,37,12,13,17,1,0,1,1,1
Florida,2020-04-26,36,37,15,14,20,1,0,1,1,1
Florida,2020-05-03,34,38,13,14,20,0,0,1,1,1
Florida,2020-05-10,39,34,13,15,21,0,0,1,1,1
Florida,2020-05-17,31,40,10,13,18,0,0,1,1,1
Florida,2020-05-24,29,39,11,15,19,0,0,1,1,1
Florida,2020-05-31,28,33,11,15,18,0,0,1,1,1
Florida,2020-06-07,28,38,12,17,19,0,0,1,1,1
Florida,2020-06-14,27,37,13,16,18,0,0,1,1,1
Florida,2020-06-21,29,40,11,15,17,0,0,1,1,1
Florida,2020-06-28,27,37,10,14,17,0,0,1,1,1
Florida,2020-07-05,27,43,12,15,17,0,0,1,1,1
Florida,2020-07-12,26,42,10,15,18,0,0,1,1,1
Florida,2020-07-19,31,45,11,14,20,0,0,1,1,1
Florida,2020-07-26,34,42,11,15,17,0,0,1,1,1
Florida,2020-08-02,31,38,11,16,17,0,0,1,1,1
Florida,2020-08-09,31,39,11,16,15,0,0,1,1,0
Florida,2020-08-16,54,37,11,17,17,0,0,1,1,0
Florida,2020-08-23,29,40,11,17,20,0,0,1,1,0
Florida,2020-08-30,30,38,11,17,19,0,0,1,1,0
Florida,2020-09-06,41,43,12,16,20,0,0,1,1,0
Florida,2020-09-13,34,42,11,19,21,0,0,1,1,0
Florida,2020-09-20,32,42,11,17,22,0,0,1,1,0
Florida,2020-09-27,29,42,13,16,21,0,0,0,0,0
Florida,2020-10-04,31,38,12,16,22,0,0,0,0,0
Florida,2020-10-11,31,39,12,16,24,0,0,0,0,0
Florida,2020-10-18,33,40,11,14,21,0,0,0,0,0
Florida,2020-10-25,30,40,12,16,20,0,0,0,0,0
Florida,2020-11-01,28,33,9,13,16,0,0,0,0,0
Florida,2020-11-08,32,36,12,15,18,0,0,0,0,0
Florida,2020-11-15,32,39,11,15,20,0,0,0,0,0
Florida,2020-11-22,27,34,10,13,15,0,0,0,0,0
Florida,2020-11-29,30,42,12,14,21,0,0,0,0,0
Florida,2020-12-06,30,35,12,17,19,0,0,0,0,0
Florida,2020-12-13,27,36,11,12,18,0,0,0,0,0
Florida,2020-12-20,22,32,11,9,11,0,0,0,0,0
Florida,2020-12-27,23,35,10,9,12,0,0,0,0,0
Florida,2021-01-03,26,38,10,16,16,0,0,0,0,0
Florida,2021-01-10,30,38,10,15,19,0,0,0,0,0
Florida,2021-01-17,27,37,10,15,18,0,0,0,0,0
Florida,2021-01-24,30,41,11,16,19,0,0,0,0,0
Florida,2021-01-31,32,36,10,17,20,0,0,0,0,0
Florida,2021-02-07,31,37,11,15,19,0,0,0,0,0
Florida,2021-02-14,32,41,11,14,19,0,0,0,0,0
Florida,2021-02-21,32,42,10,17,19,0,0,0,0,0
Florida,2021-02-28,29,37,10,16,22,0,0,0,0,0
Florida,2021-03-07,29,37,10,16,21,0,0,0,0,0
Florida,2021-03-14,28,39,11,13,20,0,0,0,0,0
Florida,2021-03-21,29,43,12,15,20,0,0,0,0,0
Florida,2021-03-28,29,36,11,16,20,0,0,0,0,0
Florida,2021-04-04,31,39,12,17,21,0,0,0,0,0
Florida,2021-04-11,30,41,13,17,20,0,0,0,0,0
Florida,2021-04-18,31,42,13,16,21,0,0,0,0,0
Florida,2021-04-25,28,38,12,14,22,0,0,0,0,0
Florida,2021-05-02,29,37,11,16,24,0,0,0,0,0
Florida,2021-05-09,28,35,11,18,24,0,0,0,0,0
Florida,2021-05-16,28,36,11,16,23,0,0,0,0,0
Florida,2021-05-23,26,36,11,15,21,0,0,0,0,0
Florida,2021-05-30,25,37,11,15,20,0,0,0,0,0
Florida,2021-06-06,26,37,11,15,20,0,0,0,0,0
Florida,2021-06-13,31,39,11,16,20,0,0,0,0,0
Florida,2021-06-20,26,39,13,16,19,0,0,0,0,0
Florida,2021-06-27,28,37,11,16,18,0,0,0,0,0
Florida,2021-07-04,26,40,11,17,18,0,0,0,0,0
Florida,2021-07-11,26,40,10,16,17,0,0,0,0,0
Florida,2021-07-18,24,39,10,18,17,0,0,0,0,0
Florida,2021-07-25,25,38,11,16,23,0,0,0,0,0
Florida,2021-08-01,23,39,11,16,18,0,0,0,0,0
Florida,2021-08-08,36,40,11,15,19,0,0,0,0,0
Florida,2021-08-15,27,41,10,16,18,0,0,0,0,0
Florida,2021-08-22,24,40,11,18,21,0,0,0,0,0
Florida,2021-08-29,25,39,12,19,20,0,0,0,0,0
Florida,2021-09-05,26,38,11,17,21,0,0,0,0,0
Florida,2021-09-12,30,42,12,18,21,0,0,0,0,0
Florida,2021-09-19,28,43,9,18,21,0,0,0,0,0
Florida,2021-09-26,29,42,11,20,24,0,0,0,0,0
Florida,2021-10-03,27,40,11,19,26,0,0,0,0,0
Florida,2021-10-10,29,43,11,20,29,0,0,0,0,0
Florida,2021-10-17,28,41,11,19,23,0,0,0,0,0
Florida,2021-10-24,28,39,13,18,22,0,0,0,0,0
Florida,2021-10-31,28,37,11,16,22,0,0,0,0,0
Florida,2021-11-07,29,41,11,18,22,0,0,0,0,0
Florida,2021-11-14,27,39,12,17,23,0,0,0,0,0
Florida,2021-11-21,23,35,12,12,18,0,0,0,0,0
Florida,2021-11-28,27,44,13,18,23,0,0,0,0,0
Florida,2021-12-05,28,38,13,16,24,0,0,0,0,0
Florida,2021-12-12,27,38,14,17,19,0,0,0,0,0
Florida,2021-12-19,19,31,12,10,12,0,0,0,0,0
Florida,2021-12-26,20,34,11,12,14,0,0,0,0,0
Florida,2022-01-02,27,40,11,18,21,0,0,0,0,0
Florida,2022-01-09,29,37,12,18,20,0,0,0,0,0
Florida,2022-01-16,30,37,13,18,21,0,0,0,0,0
Florida,2022-01-23,30,34,12,16,23,0,0,0,0,0
Florida,2022-01-30,32,38,13,17,24,0,0,0,0,0
Florida,2022-02-06,33,41,14,18,25,0,0,0,0,0
Florida,2022-02-13,30,41,13,17,24,0,0,0,0,0
Florida,2022-02-20,30,43,11,20,26,0,0,0,0,0
Florida,2022-02-27,31,43,11,20,26,0,0,0,0,0
Florida,2022-03-06,33,44,12,18,25,0,0,0,0,0
Florida,2022-03-13,29,38,12,17,23,0,0,0,0,0
Florida,2022-03-20,31,43,11,19,25,0,0,0,0,0
Florida,2022-03-27,33,45,12,18,25,0,0,0,0,0
Florida,2022-04-03,32,42,13,18,26,0,0,0,0,0
Florida,2022-04-10,31,40,12,18,24,0,0,0,0,0
Florida,2022-04-17,35,42,12,18,27,0,0,0,0,0
Florida,2022-04-24,31,41,12,19,28,0,0,0,0,0
Florida,2022-05-01,31,43,11,17,30,0,0,0,0,0
Florida,2022-05-08,30,40,14,17,27,0,0,0,0,0
Florida,2022-05-15,30,37,13,19,27,0,0,0,0,0
Florida,2022-05-22,27,34,12,17,29,0,0,0,0,0
Florida,2022-05-29,31,35,12,15,25,0,0,0,0,0
Florida,2022-06-05,29,38,11,17,25,0,0,0,0,0
Florida,2022-06-12,28,37,12,16,24,0,0,0,0,0
Florida,2022-06-19,27,39,12,15,23,0,0,0,0,0
Florida,2022-06-26,26,43,11,18,21,0,0,0,0,0
Florida,2022-07-03,26,40,11,15,21,0,0,0,0,0
Florida,2022-07-10,28,42,12,16,22,0,0,0,0,0
Florida,2022-07-17,28,42,12,17,22,0,0,0,0,0
Florida,2022-07-24,28,43,11,17,22,0,0,0,0,0
Florida,2022-07-31,24,42,11,20,23,0,0,0,0,0
Florida,2022-08-07,23,39,10,16,19,0,0,0,0,0
Florida,2022-08-14,24,42,11,18,22,0,0,0,0,0
Florida,2022-08-21,26,43,11,19,21,0,0,0,0,0
Florida,2022-08-28,27,43,11,19,26,0,0,0,0,0
Florida,2022-09-04,26,40,10,18,21,0,0,0,0,0
Florida,2022-09-11,28,44,11,17,25,0,0,0,0,0
Florida,2022-09-18,100,42,10,20,22,0,0,0,0,0
Florida,2022-09-25,42,32,10,13,20,0,0,0,0,0
Florida,2022-10-02,34,40,12,18,27,0,0,0,0,0
Florida,2022-10-09,28,42,12,17,32,0,0,0,0,0
Florida,2022-10-16,26,39,11,19,27,0,0,0,0,0
Florida,2022-10-23,29,40,11,17,27,0,0,0,0,0
Florida,2022-10-30,29,40,11,18,25,0,0,0,0,0
Florida,2022-11-06,33,33,11,16,24,0,0,0,0,0
Florida,2022-11-13,29,40,11,15,26,0,0,0,0,0
Florida,2022-11-20,22,33,10,11,16,0,0,0,0,0
Florida,2022-11-27,28,41,10,16,25,0,0,0,0,0
Florida,2022-12-04,30,41,11,16,26,0,0,0,0,0
Florida,2022-12-11,30,36,11,15,25,0,0,0,0,0
Florida,2022-12-18,22,33,13,14,16,0,0,0,0,0
Florida,2022-12-25,20,35,10,11,17,0,0,0,0,0
Florida,2023-01-01,24,39,9,16,21,0,0,0,0,0
