state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Hawaii,2017-12-31,62,55,22,10,20,0,0,0,0,0
Hawaii,2018-01-07,54,55,22,19,11,0,0,0,0,0
Hawaii,2018-01-14,46,34,9,40,21,0,0,0,0,0
Hawaii,2018-01-21,63,49,12,32,26,0,0,0,0,0
Hawaii,2018-01-28,77,45,25,25,21,0,0,0,0,0
Hawaii,2018-02-04,75,44,27,58,13,0,0,0,0,0
Hawaii,2018-02-11,60,58,29,31,37,0,0,0,0,0
Hawaii,2018-02-18,54,49,25,25,29,0,0,0,0,0
Hawaii,2018-02-25,64,65,33,39,25,0,0,0,0,0
Hawaii,2018-03-04,64,48,18,33,28,0,0,0,0,0
Hawaii,2018-03-11,64,53,12,16,21,0,0,0,0,0
Hawaii,2018-03-18,51,61,38,23,25,0,0,0,0,0
Hawaii,2018-03-25,68,39,12,31,30,0,0,0,0,0
Hawaii,2018-04-01,47,40,23,30,13,0,0,0,0,0
Hawaii,2018-04-08,57,50,16,26,21,0,0,0,0,0
Hawaii,2018-04-15,63,53,27,23,18,0,0,0,0,0
Hawaii,2018-04-22,62,56,23,20,34,0,0,0,0,0
Hawaii,2018-04-29,48,71,36,20,28,0,0,0,0,0
Hawaii,2018-05-06,46,37,9,9,14,0,0,0,0,0
Hawaii,2018-05-13,53,43,31,19,17,0,0,0,0,0
Hawaii,2018-05-20,70,53,18,33,20,0,0,0,0,0
Hawaii,2018-05-27,48,62,21,24,27,0,0,0,0,0
Hawaii,2018-06-03,53,58,22,21,40,0,0,0,0,0
Hawaii,2018-06-10,60,53,24,27,29,0,0,0,0,0
Hawaii,2018-06-17,31,30,18,9,14,0,0,0,0,0
Hawaii,2018-06-24,43,59,20,26,20,0,0,0,0,0
Hawaii,2018-07-01,46,54,28,17,11,0,0,0,0,0
Hawaii,2018-07-08,53,47,6,14,16,0,0,0,0,0
Hawaii,2018-07-15,54,29,19,35,36,0,0,0,0,0
Hawaii,2018-07-22,47,44,28,9,10,0,0,0,0,0
Hawaii,2018-07-29,29,71,13,27,7,0,0,0,0,0
Hawaii,2018-08-05,53,67,17,33,27,0,0,0,0,0
Hawaii,2018-08-12,55,64,29,37,24,0,0,0,0,0
Hawaii,2018-08-19,30,40,28,43,8,0,0,0,0,0
Hawaii,2018-08-26,64,49,40,17,36,0,0,0,0,0
Hawaii,2018-09-02,66,61,19,37,24,0,0,0,0,0
Hawaii,2018-09-09,59,80,27,47,26,0,0,0,0,0
Hawaii,2018-09-16,62,62,0,45,29,0,0,0,0,0
Hawaii,2018-09-23,52,45,5,38,20,0,0,0,0,0
