week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2017-12-31,47.8,56.0,21.2,27.8,13.6,0.0,0.0,0.0,0.0,0.0
2018-01-07,56.2,58.6,20.6,24.8,20.2,0.0,0.0,0.0,0.0,0.0
2018-01-14,53.2,57.6,22.2,32.2,24.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,63.8,61.6,24.8,34.4,23.2,0.0,0.0,0.0,0.0,0.0
2018-01-28,55.8,61.4,23.6,35.6,20.8,0.0,0.0,0.0,0.0,0.0
2018-02-04,58.0,58.2,24.6,36.0,25.2,0.0,0.0,0.0,0.0,0.0
2018-02-11,58.8,59.2,24.8,35.4,30.4,0.0,0.0,0.0,0.0,0.0
2018-02-18,58.2,62.4,26.2,36.2,29.4,0.0,0.0,0.0,0.0,0.0
2018-02-25,65.0,54.2,28.0,33.4,28.4,0.0,0.0,0.0,0.0,0.0
2018-03-04,60.4,61.8,24.4,30.0,27.2,0.0,0.0,0.0,0.0,0.0
2018-03-11,58.4,53.0,22.2,32.0,22.4,0.0,0.0,0.0,0.0,0.0
2018-03-18,60.2,61.2,26.2,34.8,23.0,0.0,0.0,0.0,0.0,0.0
2018-03-25,57.4,60.6,22.2,34.8,27.8,0.0,0.0,0.0,0.0,0.0
2018-04-01,63.4,63.8,20.6,34.0,26.4,0.0,0.0,0.0,0.0,0.0
2018-04-08,61.8,58.6,26.2,32.2,26.8,0.0,0.0,0.0,0.0,0.0
2018-04-15,63.6,58.0,20.0,32.0,25.4,0.0,0.0,0.0,0.0,0.0
2018-04-22,58.4,61.2,20.4,29.6,32.6,0.0,0.0,0.0,0.0,0.0
2018-04-29,63.4,63.0,22.6,30.8,28.4,0.0,0.0,0.0,0.0,0.0
2018-05-06,58.8,59.0,22.8,31.4,26.6,0.0,0.0,0.0,0.0,0.0
2018-05-13,58.6,57.4,28.8,32.2,21.8,0.0,0.0,0.0,0.0,0.0
2018-05-20,57.2,65.6,21.4,30.2,29.4,0.0,0.0,0.0,0.0,0.0
2018-05-27,40.8,55.4,23.8,26.2,25.6,0.0,0.0,0.0,0.0,0.0
2018-06-03,57.8,54.2,14.8,34.2,29.6,0.0,0.0,0.0,0.0,0.0
2018-06-10,56.2,66.2,21.2,35.2,27.2,0.0,0.0,0.0,0.0,0.0
2018-06-17,48.6,61.6,17.6,33.8,23.6,0.0,0.0,0.0,0.0,0.0
2018-06-24,50.8,61.6,23.2,23.4,21.8,0.0,0.0,0.0,0.0,0.0
2018-07-01,48.0,62.0,16.6,29.8,16.0,0.0,0.0,0.0,0.0,0.0
2018-07-08,45.8,61.4,20.4,26.2,29.2,0.0,0.0,0.0,0.0,0.0
2018-07-15,51.6,66.2,16.8,30.0,18.6,0.0,0.0,0.0,0.0,0.0
2018-07-22,46.6,66.8,17.0,33.2,30.8,0.0,0.0,0.0,0.0,0.0
2018-07-29,46.0,63.4,18.2,33.6,25.8,0.0,0.0,0.0,0.0,0.0
2018-08-05,47.8,64.4,22.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0
2018-08-12,43.0,66.2,15.4,32.4,20.6,0.0,0.0,0.0,0.0,0.0
2018-08-19,45.2,63.4,21.4,32.0,29.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,42.4,65.2,20.6,39.0,26.2,0.0,0.0,0.0,0.0,0.0
2018-09-02,52.2,62.8,21.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0
2018-09-09,57.0,65.0,17.4,34.8,27.4,0.0,0.0,0.0,0.0,0.0
2018-09-16,57.6,66.8,23.8,39.8,29.0,0.0,0.0,0.0,0.0,0.0
2018-09-23,57.0,63.2,20.4,34.6,28.4,0.0,0.0,0.0,0.0,0.0
2018-09-30,55.4,64.4,23.0,34.4,25.6,0.0,0.0,0.0,0.0,0.0
2018-10-07,58.4,62.2,17.4,34.6,37.6,0.0,0.0,0.0,0.0,0.0
2018-10-14,62.2,60.6,19.2,32.2,30.0,0.0,0.0,0.0,0.0,0.0
2018-10-21,67.2,66.0,20.8,31.2,30.4,0.0,0.0,0.0,0.0,0.0
2018-10-28,50.8,65.0,20.8,40.4,35.4,0.0,0.0,0.0,0.0,0.0
2018-11-04,59.2,65.8,21.6,37.2,31.0,0.0,0.0,0.0,0.0,0.0
2018-11-11,57.2,64.4,18.8,36.0,30.2,0.0,0.0,0.0,0.0,0.0
2018-11-18,53.8,59.2,17.8,22.0,29.8,0.0,0.0,0.0,0.0,0.0
2018-11-25,61.0,68.8,20.8,33.6,29.4,0.0,0.0,0.0,0.0,0.0
2018-12-02,64.6,61.6,20.0,32.8,32.0,0.0,0.0,0.0,0.0,0.0
2018-12-09,64.4,64.4,22.2,26.6,26.8,0.0,0.0,0.0,0.0,0.0
2018-12-16,60.4,56.2,19.8,26.0,25.8,0.0,0.0,0.0,0.0,0.0
2018-12-23,40.8,50.0,14.0,25.8,14.8,0.0,0.0,0.0,0.0,0.0
2018-12-30,49.6,60.2,26.2,29.0,25.2,0.0,0.0,0.0,0.0,0.0
2019-01-06,55.8,62.0,24.8,29.6,25.0,0.0,0.0,0.0,0.0,0.0
2019-01-13,63.4,58.2,19.4,35.2,23.4,0.0,0.0,0.0,0.0,0.0
2019-01-20,54.8,55.8,24.6,37.0,22.4,0.0,0.0,0.0,0.0,0.0
2019-01-27,56.6,62.2,19.4,36.4,31.8,0.0,0.0,0.0,0.0,0.0
2019-02-03,67.0,65.0,19.6,34.4,27.0,0.0,0.0,0.0,0.0,0.0
2019-02-10,64.0,58.6,28.6,31.8,27.6,0.0,0.0,0.0,0.0,0.0
2019-02-17,66.2,68.2,20.4,37.8,28.8,0.0,0.0,0.0,0.0,0.0
2019-02-24,63.4,67.6,24.2,33.0,30.2,0.0,0.0,0.0,0.0,0.0
2019-03-03,67.4,66.0,25.8,32.2,25.8,0.0,0.0,0.0,0.0,0.0
2019-03-10,60.0,68.0,21.6,36.4,25.0,0.0,0.0,0.0,0.0,0.0
2019-03-17,66.8,62.0,23.2,36.8,27.4,0.0,0.0,0.0,0.0,0.0
2019-03-24,64.8,68.8,24.2,36.4,29.4,0.0,0.0,0.0,0.0,0.0
2019-03-31,64.6,63.2,20.8,36.0,30.4,0.0,0.0,0.0,0.0,0.0
2019-04-07,62.2,71.4,29.0,34.0,29.8,0.0,0.0,0.0,0.0,0.0
2019-04-14,58.2,70.8,30.6,38.6,27.2,0.0,0.0,0.0,0.0,0.0
2019-04-21,61.6,60.8,27.2,33.0,28.8,0.0,0.0,0.0,0.0,0.0
