state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Massachusetts,2017-12-31,61,67,27,26,25,0,0,0,0,0
Massachusetts,2018-01-07,66,70,26,35,34,0,0,0,0,0
Massachusetts,2018-01-14,57,71,27,30,31,0,0,0,0,0
Massachusetts,2018-01-21,69,73,26,41,40,0,0,0,0,0
Massachusetts,2018-01-28,68,74,31,35,39,0,0,0,0,0
Massachusetts,2018-02-04,66,69,29,40,42,0,0,0,0,0
Massachusetts,2018-02-11,70,74,33,33,39,0,0,0,0,0
Massachusetts,2018-02-18,60,76,34,38,43,0,0,0,0,0
Massachusetts,2018-02-25,70,71,39,35,48,0,0,0,0,0
Massachusetts,2018-03-04,65,71,30,29,40,0,0,0,0,0
Massachusetts,2018-03-11,64,79,28,31,32,0,0,0,0,0
Massachusetts,2018-03-18,77,89,30,37,42,0,0,0,0,0
Massachusetts,2018-03-25,73,80,25,36,36,0,0,0,0,0
Massachusetts,2018-04-01,77,78,26,35,39,0,0,0,0,0
Massachusetts,2018-04-08,74,76,25,38,35,0,0,0,0,0
Massachusetts,2018-04-15,75,76,25,29,35,0,0,0,0,0
Massachusetts,2018-04-22,73,80,32,39,44,0,0,0,0,0
Massachusetts,2018-04-29,67,75,27,31,44,0,0,0,0,0
Massachusetts,2018-05-06,68,73,25,29,40,0,0,0,0,0
Massachusetts,2018-05-13,64,71,26,24,42,0,0,0,0,0
Massachusetts,2018-05-20,59,86,27,34,46,0,0,0,0,0
Massachusetts,2018-05-27,64,69,23,32,32,0,0,0,0,0
Massachusetts,2018-06-03,76,66,21,34,47,0,0,0,0,0
Massachusetts,2018-06-10,73,75,28,37,39,0,0,0,0,0
Massachusetts,2018-06-17,64,77,26,38,32,0,0,0,0,0
Massachusetts,2018-06-24,54,72,27,28,37,0,0,0,0,0
Massachusetts,2018-07-01,56,74,24,22,25,0,0,0,0,0
Massachusetts,2018-07-08,60,67,30,37,38,0,0,0,0,0
Massachusetts,2018-07-15,62,75,24,31,31,0,0,0,0,0
Massachusetts,2018-07-22,51,78,25,33,42,0,0,0,0,0
Massachusetts,2018-07-29,48,82,30,32,33,0,0,0,0,0
Massachusetts,2018-08-05,56,79,25,26,30,0,0,0,0,0
Massachusetts,2018-08-12,53,79,26,32,37,0,0,0,0,0
