week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2017-12-31,53.0,65.8,26.4,32.2,23.8,0.0,0.0,0.0,0.0,0.0
2018-01-07,58.0,66.0,26.0,40.4,33.8,0.0,0.0,0.0,0.0,0.0
2018-01-14,54.2,60.6,22.8,41.0,35.2,0.0,0.0,0.0,0.0,0.0
2018-01-21,63.4,65.2,21.6,38.0,33.2,0.0,0.0,0.0,0.0,0.0
2018-01-28,66.8,63.2,23.6,36.4,30.4,0.0,0.0,0.0,0.0,0.0
2018-02-04,71.0,64.0,26.6,44.0,33.6,0.0,0.0,0.0,0.0,0.0
2018-02-11,67.6,64.6,24.2,35.2,39.0,0.0,0.0,0.0,0.0,0.0
2018-02-18,60.8,64.2,28.8,28.4,40.6,0.0,0.0,0.0,0.0,0.0
2018-02-25,71.4,75.8,29.2,39.6,37.6,0.0,0.0,0.0,0.0,0.0
2018-03-04,72.0,72.8,25.8,37.8,37.2,0.0,0.0,0.0,0.0,0.0
2018-03-11,67.8,66.8,23.6,34.4,35.0,0.0,0.0,0.0,0.0,0.0
2018-03-18,66.6,73.0,30.0,35.0,38.2,0.0,0.0,0.0,0.0,0.0
2018-03-25,60.2,61.4,20.0,32.4,39.2,0.0,0.0,0.0,0.0,0.0
2018-04-01,64.4,68.0,24.8,43.4,32.8,0.0,0.0,0.0,0.0,0.0
2018-04-08,70.0,68.4,23.6,36.4,37.2,0.0,0.0,0.0,0.0,0.0
2018-04-15,62.2,69.6,25.6,36.6,28.2,0.0,0.0,0.0,0.0,0.0
2018-04-22,63.6,76.6,25.8,34.8,36.4,0.0,0.0,0.0,0.0,0.0
2018-04-29,58.8,73.0,26.4,35.4,36.8,0.0,0.0,0.0,0.0,0.0
2018-05-06,65.4,67.0,20.6,29.8,35.8,0.0,0.0,0.0,0.0,0.0
2018-05-13,64.2,63.8,27.8,31.8,34.8,0.0,0.0,0.0,0.0,0.0
2018-05-20,67.6,64.6,24.4,33.8,35.0,0.0,0.0,0.0,0.0,0.0
2018-05-27,60.6,67.0,20.6,36.8,33.2,0.0,0.0,0.0,0.0,0.0
2018-06-03,73.8,73.8,23.4,34.8,41.2,0.0,0.0,0.0,0.0,0.0
2018-06-10,68.8,65.2,22.8,31.8,40.0,0.0,0.0,0.0,0.0,0.0
2018-06-17,47.2,57.0,25.2,30.8,28.0,0.0,0.0,0.0,0.0,0.0
2018-06-24,54.2,63.8,19.2,30.4,30.8,0.0,0.0,0.0,0.0,0.0
2018-07-01,52.2,64.0,19.8,27.8,24.2,0.0,0.0,0.0,0.0,0.0
2018-07-08,53.0,61.8,19.4,26.4,30.8,0.0,0.0,0.0,0.0,0.0
2018-07-15,50.8,59.8,24.8,32.8,37.4,0.0,0.0,0.0,0.0,0.0
2018-07-22,52.0,63.0,24.8,27.8,27.8,0.0,0.0,0.0,0.0,0.0
2018-07-29,46.4,71.0,25.6,32.4,30.2,0.0,0.0,0.0,0.0,0.0
2018-08-05,51.0,77.6,22.6,38.0,33.2,0.0,0.0,0.0,0.0,0.0
2018-08-12,57.8,69.4,25.4,35.0,31.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,47.2,66.6,20.2,38.8,24.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,55.4,62.4,26.4,34.0,39.8,0.0,0.0,0.0,0.0,0.0
2018-09-02,55.6,76.4,23.6,41.4,38.4,0.0,0.0,0.0,0.0,0.0
2018-09-09,54.2,69.8,23.6,43.2,39.6,0.0,0.0,0.0,0.0,0.0
2018-09-16,68.4,70.2,21.0,41.0,37.2,0.0,0.0,0.0,0.0,0.0
2018-09-23,60.6,68.6,18.2,40.2,40.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,59.2,73.6,18.2,37.6,36.0,0.0,0.0,0.0,0.0,0.0
2018-10-07,67.0,80.6,22.2,38.8,55.4,0.0,0.0,0.0,0.0,0.0
2018-10-14,61.6,76.0,26.0,36.8,39.2,0.0,0.0,0.0,0.0,0.0
2018-10-21,71.8,77.0,25.0,34.6,43.0,0.0,0.0,0.0,0.0,0.0
2018-10-28,71.2,77.0,23.2,40.4,35.0,0.0,0.0,0.0,0.0,0.0
2018-11-04,62.6,68.0,27.0,40.8,39.8,0.0,0.0,0.0,0.0,0.0
2018-11-11,68.8,77.6,25.2,37.8,45.2,0.0,0.0,0.0,0.0,0.0
2018-11-18,63.8,65.4,19.0,30.6,27.0,0.0,0.0,0.0,0.0,0.0
2018-11-25,66.4,73.8,22.8,38.6,45.2,0.0,0.0,0.0,0.0,0.0
2018-12-02,66.2,71.0,24.2,36.0,42.6,0.0,0.0,0.0,0.0,0.0
2018-12-09,73.0,71.0,24.0,35.4,39.0,0.0,0.0,0.0,0.0,0.0
2018-12-16,59.4,69.4,20.2,33.6,35.8,0.0,0.0,0.0,0.0,0.0
2018-12-23,51.0,64.6,22.2,22.0,25.0,0.0,0.0,0.0,0.0,0.0
2018-12-30,53.8,69.0,28.8,28.4,29.2,0.0,0.0,0.0,0.0,0.0
2019-01-06,62.0,70.0,22.6,37.2,31.8,0.0,0.0,0.0,0.0,0.0
2019-01-13,69.0,66.6,20.4,40.4,40.0,0.0,0.0,0.0,0.0,0.0
2019-01-20,65.6,67.8,21.8,42.8,35.8,0.0,0.0,0.0,0.0,0.0
2019-01-27,63.8,71.8,22.8,39.0,44.0,0.0,0.0,0.0,0.0,0.0
2019-02-03,73.0,64.8,20.4,41.2,41.6,0.0,0.0,0.0,0.0,0.0
2019-02-10,77.0,63.6,19.4,29.2,33.0,0.0,0.0,0.0,0.0,0.0
2019-02-17,69.4,73.2,24.2,38.4,38.6,0.0,0.0,0.0,0.0,0.0
2019-02-24,67.4,73.0,21.8,40.4,39.2,0.0,0.0,0.0,0.0,0.0
2019-03-03,71.4,69.4,22.6,41.8,40.4,0.0,0.0,0.0,0.0,0.0
2019-03-10,76.2,71.4,17.6,47.8,39.8,0.0,0.0,0.0,0.0,0.0
2019-03-17,68.4,73.4,19.8,34.6,32.6,0.0,0.0,0.0,0.0,0.0
2019-03-24,65.4,76.6,27.0,33.0,45.4,0.0,0.0,0.0,0.0,0.0
2019-03-31,76.6,71.4,29.8,33.4,41.4,0.0,0.0,0.0,0.0,0.0
2019-04-07,57.0,69.4,26.4,40.4,42.4,0.0,0.0,0.0,0.0,0.0
2019-04-14,63.6,71.0,31.4,42.6,40.6,0.0,0.0,0.0,0.0,0.0
2019-04-21,66.4,68.2,24.4,39.4,37.4,0.0,0.0,0.0,0.0,0.0
2019-04-28,67.0,64.6,26.0,40.6,44.6,0.0,0.0,0.0,0.0,0.0
2019-05-05,66.6,67.6,22.0,37.6,45.6,0.0,0.0,0.0,0.0,0.0
2019-05-12,61.2,58.4,25.6,37.8,46.6,0.0,0.0,0.0,0.0,0.0
2019-05-19,71.8,64.6,30.6,30.0,38.8,0.0,0.0,0.0,0.0,0.0
2019-05-26,58.8,66.6,25.2,31.0,36.8,0.0,0.0,0.0,0.0,0.0
2019-06-02,58.6,65.6,22.6,41.8,30.6,0.0,0.0,0.0,0.0,0.0
2019-06-09,54.2,60.2,18.2,37.6,35.0,0.0,0.0,0.0,0.0,0.0
2019-06-16,44.6,61.0,22.4,41.0,40.2,0.0,0.0,0.0,0.0,0.0
2019-06-23,49.6,69.8,22.2,35.8,35.8,0.0,0.0,0.0,0.0,0.0
2019-06-30,48.4,63.2,24.4,28.4,30.0,0.0,0.0,0.0,0.0,0.0
2019-07-07,49.0,63.4,24.0,37.4,31.8,0.0,0.0,0.0,0.0,0.0
2019-07-14,50.0,65.0,23.8,36.2,36.8,0.0,0.0,0.0,0.0,0.0
2019-07-21,53.6,71.8,28.8,33.8,34.2,0.0,0.0,0.0,0.0,0.0
2019-07-28,52.6,75.0,24.8,42.6,31.0,0.0,0.0,0.0,0.0,0.0
