state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
South Dakota,2017-12-31,44,49,20,38,0,0,0,0,0,0
South Dakota,2018-01-07,67,42,16,0,15,0,0,0,0,0
South Dakota,2018-01-14,58,61,24,44,28,0,0,0,0,0
South Dakota,2018-01-21,72,59,36,40,11,0,0,0,0,0
South Dakota,2018-01-28,48,60,28,44,0,0,0,0,0,0
South Dakota,2018-02-04,51,46,27,48,22,0,0,0,0,0
South Dakota,2018-02-11,57,51,18,52,31,0,0,0,0,0
South Dakota,2018-02-18,66,60,22,45,23,0,0,0,0,0
South Dakota,2018-02-25,64,19,26,37,12,0,0,0,0,0
South Dakota,2018-03-04,52,59,27,35,23,0,0,0,0,0
South Dakota,2018-03-11,82,36,30,44,18,0,0,0,0,0
South Dakota,2018-03-18,55,42,44,41,10,0,0,0,0,0
South Dakota,2018-03-25,42,56,22,47,32,0,0,0,0,0
South Dakota,2018-04-01,54,63,13,41,25,0,0,0,0,0
South Dakota,2018-04-08,51,39,33,37,28,0,0,0,0,0
South Dakota,2018-04-15,53,32,19,40,23,0,0,0,0,0
South Dakota,2018-04-22,39,43,0,20,39,0,0,0,0,0
South Dakota,2018-04-29,62,47,21,36,22,0,0,0,0,0
South Dakota,2018-05-06,34,43,18,40,18,0,0,0,0,0
South Dakota,2018-05-13,52,48,44,48,0,0,0,0,0,0
South Dakota,2018-05-20,54,64,23,26,30,0,0,0,0,0
South Dakota,2018-05-27,0,41,36,9,29,0,0,0,0,0
South Dakota,2018-06-03,42,33,0,54,24,0,0,0,0,0
South Dakota,2018-06-10,36,72,25,45,22,0,0,0,0,0
South Dakota,2018-06-17,20,42,0,32,13,0,0,0,0,0
South Dakota,2018-06-24,55,44,25,0,14,0,0,0,0,0
South Dakota,2018-07-01,42,48,0,48,0,0,0,0,0,0
South Dakota,2018-07-08,23,28,9,0,38,0,0,0,0,0
South Dakota,2018-07-15,46,47,0,29,0,0,0,0,0,0
South Dakota,2018-07-22,35,58,0,40,44,0,0,0,0,0
South Dakota,2018-07-29,34,23,0,34,33,0,0,0,0,0
South Dakota,2018-08-05,47,54,23,35,0,0,0,0,0,0
South Dakota,2018-08-12,18,48,0,32,0,0,0,0,0,0
South Dakota,2018-08-19,34,38,27,23,39,0,0,0,0,0
South Dakota,2018-08-26,20,57,19,58,27,0,0,0,0,0
South Dakota,2018-09-02,47,51,24,25,41,0,0,0,0,0
South Dakota,2018-09-09,40,62,0,37,24,0,0,0,0,0
South Dakota,2018-09-16,44,70,40,59,27,0,0,0,0,0
South Dakota,2018-09-23,53,39,17,38,27,0,0,0,0,0
South Dakota,2018-09-30,36,52,26,33,9,0,0,0,0,0
South Dakota,2018-10-07,49,48,0,38,11,0,0,0,0,0
South Dakota,2018-10-14,81,44,25,32,27,0,0,0,0,0
South Dakota,2018-10-21,100,46,24,16,32,0,0,0,0,0
South Dakota,2018-10-28,0,56,24,64,56,0,0,0,0,0
South Dakota,2018-11-04,43,57,21,49,31,0,0,0,0,0
South Dakota,2018-11-11,29,61,18,50,40,0,0,0,0,0
South Dakota,2018-11-18,62,59,10,23,66,0,0,0,0,0
South Dakota,2018-11-25,54,57,17,30,27,0,0,0,0,0
South Dakota,2018-12-02,63,50,9,41,34,0,0,0,0,0
South Dakota,2018-12-09,73,51,32,24,31,0,0,0,0,0
South Dakota,2018-12-16,70,39,22,17,21,0,0,0,0,0
South Dakota,2018-12-23,25,36,0,52,0,0,0,0,0,0
South Dakota,2018-12-30,49,47,47,49,32,0,0,0,0,0
South Dakota,2019-01-06,51,40,36,13,21,0,0,0,0,0
South Dakota,2019-01-13,67,30,19,43,9,0,0,0,0,0
South Dakota,2019-01-20,42,33,40,50,0,0,0,0,0,0
South Dakota,2019-01-27,25,54,12,28,37,0,0,0,0,0
South Dakota,2019-02-03,72,46,16,32,16,0,0,0,0,0
South Dakota,2019-02-10,58,29,54,34,25,0,0,0,0,0
South Dakota,2019-02-17,74,70,19,50,31,0,0,0,0,0
South Dakota,2019-02-24,44,57,35,29,37,0,0,0,0,0
South Dakota,2019-03-03,55,45,41,31,13,0,0,0,0,0
South Dakota,2019-03-10,51,66,16,45,12,0,0,0,0,0
South Dakota,2019-03-17,76,31,27,55,27,0,0,0,0,0
South Dakota,2019-03-24,63,71,25,44,28,0,0,0,0,0
South Dakota,2019-03-31,61,50,0,47,26,0,0,0,0,0
South Dakota,2019-04-07,48,65,38,36,23,0,0,0,0,0
South Dakota,2019-04-14,57,90,60,55,31,0,0,0,0,0
South Dakota,2019-04-21,52,34,37,34,0,0,0,0,0,0
South Dakota,2019-04-28,60,56,28,53,33,0,0,0,0,0
South Dakota,2019-05-05,46,57,0,32,30,0,0,0,0,0
South Dakota,2019-05-12,92,53,27,37,38,0,0,0,0,0
South Dakota,2019-05-19,39,39,17,42,10,0,0,0,0,0
South Dakota,2019-05-26,31,26,40,35,7,0,0,0,0,0
South Dakota,2019-06-02,55,57,37,42,30,0,0,0,0,0
South Dakota,2019-06-09,42,27,29,42,0,0,0,0,0,0
South Dakota,2019-06-16,41,42,19,37,26,0,0,0,0,0
South Dakota,2019-06-23,29,54,30,25,17,0,0,0,0,0
South Dakota,2019-06-30,37,36,13,13,17,0,0,0,0,0
South Dakota,2019-07-07,41,50,25,40,24,0,0,0,0,0
South Dakota,2019-07-14,34,38,35,36,43,0,0,0,0,0
South Dakota,2019-07-21,72,46,10,34,14,0,0,0,0,0
South Dakota,2019-07-28,37,61,39,23,35,0,0,0,0,0
South Dakota,2019-08-04,24,59,19,45,41,0,0,0,0,0
South Dakota,2019-08-11,45,40,22,48,0,0,0,0,0,0
South Dakota,2019-08-18,24,74,14,48,9,0,0,0,0,0
South Dakota,2019-08-25,52,43,24,34,39,0,0,0,0,0
South Dakota,2019-09-01,38,57,18,17,33,0,0,0,0,0
South Dakota,2019-09-08,51,34,16,39,32,0,0,0,0,0
South Dakota,2019-09-15,17,58,0,10,38,0,0,0,0,0
South Dakota,2019-09-22,31,46,19,33,28,0,0,0,0,0
South Dakota,2019-09-29,52,36,16,39,14,0,0,0,0,0
South Dakota,2019-10-06,60,76,19,46,41,0,0,0,0,0
South Dakota,2019-10-13,48,65,24,39,59,0,0,0,0,0
South Dakota,2019-10-20,28,43,30,36,35,0,0,0,0,0
South Dakota,2019-10-27,50,59,39,46,12,0,0,0,0,0
South Dakota,2019-11-03,42,62,20,32,15,0,0,0,0,0
South Dakota,2019-11-10,59,73,30,23,30,0,0,0,0,0
South Dakota,2019-11-17,74,57,34,17,36,0,0,0,0,0
South Dakota,2019-11-24,27,51,34,15,22,0,0,0,0,0
South Dakota,2019-12-01,42,35,29,28,37,0,0,0,0,0
South Dakota,2019-12-08,76,55,30,26,22,0,0,0,0,0
South Dakota,2019-12-15,0,74,25,33,27,0,0,0,0,0
South Dakota,2019-12-22,15,36,0,0,15,0,0,0,0,0
South Dakota,2019-12-29,36,42,23,0,26,0,0,0,0,0
South Dakota,2020-01-05,69,24,12,18,9,0,0,0,0,0
South Dakota,2020-01-12,67,60,21,41,25,0,0,0,0,0
South Dakota,2020-01-19,71,64,0,26,36,0,0,0,0,0
South Dakota,2020-01-26,58,58,39,52,35,0,0,0,0,0
South Dakota,2020-02-02,53,49,23,55,21,0,0,0,0,0
South Dakota,2020-02-09,29,59,13,51,23,0,0,0,0,0
South Dakota,2020-02-16,61,55,29,57,20,0,0,0,0,0
South Dakota,2020-02-23,51,56,27,47,28,0,0,0,0,0
South Dakota,2020-03-01,39,54,0,54,27,0,0,0,0,0
South Dakota,2020-03-08,44,46,25,27,16,0,0,0,0,0
South Dakota,2020-03-15,64,46,17,39,19,0,0,0,0,0
South Dakota,2020-03-22,55,53,13,39,7,0,0,0,0,0
South Dakota,2020-03-29,51,47,6,7,27,0,0,0,0,0
South Dakota,2020-04-05,46,59,10,26,23,0,0,0,0,0
South Dakota,2020-04-12,62,48,22,31,19,0,0,0,0,0
South Dakota,2020-04-19,58,37,12,17,22,0,0,0,0,0
South Dakota,2020-04-26,30,37,18,34,24,0,0,0,0,0
