state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Texas,2017-12-31,51,60,22,31,15,0,0,0,0,0
Texas,2018-01-07,60,68,19,39,22,0,0,0,0,0
Texas,2018-01-14,56,57,20,35,19,0,0,0,0,0
Texas,2018-01-21,71,69,22,42,23,0,0,0,0,0
Texas,2018-01-28,65,66,21,41,23,0,0,0,0,0
Texas,2018-02-04,65,71,24,41,23,0,0,0,0,0
Texas,2018-02-11,66,68,26,37,28,0,0,0,0,0
Texas,2018-02-18,69,71,27,42,29,0,0,0,0,0
Texas,2018-02-25,75,78,25,38,25,0,0,0,0,0
Texas,2018-03-04,69,67,23,35,26,0,0,0,0,0
Texas,2018-03-11,50,54,20,34,20,0,0,0,0,0
Texas,2018-03-18,69,66,21,43,22,0,0,0,0,0
Texas,2018-03-25,70,67,23,35,26,0,0,0,0,0
Texas,2018-04-01,80,69,22,40,25,0,0,0,0,0
Texas,2018-04-08,73,70,22,40,23,0,0,0,0,0
Texas,2018-04-15,75,68,22,40,27,0,0,0,0,0
Texas,2018-04-22,79,75,24,38,28,0,0,0,0,0
Texas,2018-04-29,81,72,21,39,31,0,0,0,0,0
Texas,2018-05-06,71,66,23,38,25,0,0,0,0,0
Texas,2018-05-13,68,59,24,35,25,0,0,0,0,0
Texas,2018-05-20,71,61,20,39,26,0,0,0,0,0
Texas,2018-05-27,54,59,18,38,24,0,0,0,0,0
Texas,2018-06-03,62,69,19,34,28,0,0,0,0,0
Texas,2018-06-10,67,70,17,40,27,0,0,0,0,0
Texas,2018-06-17,60,71,22,38,24,0,0,0,0,0
Texas,2018-06-24,58,80,22,40,21,0,0,0,0,0
Texas,2018-07-01,55,70,19,30,19,0,0,0,0,0
Texas,2018-07-08,52,78,20,41,25,0,0,0,0,0
Texas,2018-07-15,60,76,21,38,22,0,0,0,0,0
Texas,2018-07-22,55,75,26,37,25,0,0,0,0,0
Texas,2018-07-29,57,81,24,44,23,0,0,0,0,0
Texas,2018-08-05,56,73,22,38,24,0,0,0,0,0
Texas,2018-08-12,56,74,19,42,24,0,0,0,0,0
Texas,2018-08-19,51,78,17,42,22,0,0,0,0,0
Texas,2018-08-26,54,74,20,43,26,0,0,0,0,0
Texas,2018-09-02,58,69,20,38,24,0,0,0,0,0
Texas,2018-09-09,92,73,18,39,24,0,0,0,0,0
Texas,2018-09-16,69,72,20,41,28,0,0,0,0,0
Texas,2018-09-23,67,76,19,41,31,0,0,0,0,0
Texas,2018-09-30,70,75,19,42,29,0,0,0,0,0
Texas,2018-10-07,69,71,22,42,39,0,0,0,0,0
Texas,2018-10-14,61,68,19,39,28,0,0,0,0,0
Texas,2018-10-21,69,73,19,42,27,0,0,0,0,0
Texas,2018-10-28,71,70,18,41,27,0,0,0,0,0
Texas,2018-11-04,71,74,20,41,31,0,0,0,0,0
Texas,2018-11-11,75,71,21,37,28,0,0,0,0,0
Texas,2018-11-18,55,57,15,26,20,0,0,0,0,0
Texas,2018-11-25,79,80,21,44,30,0,0,0,0,0
Texas,2018-12-02,81,75,23,38,28,0,0,0,0,0
Texas,2018-12-09,77,70,20,37,22,0,0,0,0,0
Texas,2018-12-16,58,64,20,35,22,0,0,0,0,0
Texas,2018-12-23,47,56,18,23,14,0,0,0,0,0
Texas,2018-12-30,52,59,18,29,19,0,0,0,0,0
Texas,2019-01-06,60,71,16,39,27,0,0,0,0,0
Texas,2019-01-13,70,72,19,38,27,0,0,0,0,0
Texas,2019-01-20,67,70,20,44,29,0,0,0,0,0
Texas,2019-01-27,74,71,23,46,29,0,0,0,0,0
Texas,2019-02-03,73,72,21,43,28,0,0,0,0,0
Texas,2019-02-10,71,71,22,40,27,0,0,0,0,0
Texas,2019-02-17,74,73,19,46,28,0,0,0,0,0
Texas,2019-02-24,74,76,19,44,29,0,0,0,0,0
Texas,2019-03-03,79,77,21,41,28,0,0,0,0,0
Texas,2019-03-10,60,69,21,36,24,0,0,0,0,0
Texas,2019-03-17,76,75,23,43,27,0,0,0,0,0
Texas,2019-03-24,76,75,25,45,28,0,0,0,0,0
Texas,2019-03-31,82,75,24,44,28,0,0,0,0,0
Texas,2019-04-07,78,77,24,40,28,0,0,0,0,0
Texas,2019-04-14,72,72,23,39,27,0,0,0,0,0
Texas,2019-04-21,78,73,23,42,32,0,0,0,0,0
Texas,2019-04-28,83,75,22,42,34,0,0,0,0,0
Texas,2019-05-05,70,71,25,41,33,0,0,0,0,0
Texas,2019-05-12,67,71,21,41,32,0,0,0,0,0
Texas,2019-05-19,68,68,22,41,30,0,0,0,0,0
Texas,2019-05-26,55,64,21,38,25,0,0,0,0,0
Texas,2019-06-02,56,68,20,39,23,0,0,0,0,0
Texas,2019-06-09,52,62,19,39,25,0,0,0,0,0
Texas,2019-06-16,53,67,23,42,26,0,0,0,0,0
Texas,2019-06-23,48,73,21,40,27,0,0,0,0,0
Texas,2019-06-30,49,70,22,37,22,0,0,0,0,0
Texas,2019-07-07,68,73,25,46,29,0,0,0,0,0
Texas,2019-07-14,51,72,21,41,27,0,0,0,0,0
Texas,2019-07-21,55,77,21,46,26,0,0,0,0,0
Texas,2019-07-28,55,74,22,39,24,0,0,0,0,0
Texas,2019-08-04,52,74,21,45,29,0,0,0,0,0
Texas,2019-08-11,45,75,22,43,23,0,0,0,0,0
Texas,2019-08-18,47,76,20,44,24,0,0,0,0,0
Texas,2019-08-25,50,70,18,45,26,0,0,0,0,0
Texas,2019-09-01,51,69,20,43,28,0,0,0,0,0
Texas,2019-09-08,64,73,21,46,32,0,0,0,0,0
Texas,2019-09-15,84,69,19,45,33,0,0,0,0,0
Texas,2019-09-22,66,78,24,48,33,0,0,0,0,0
Texas,2019-09-29,65,76,18,46,32,0,0,0,0,0
Texas,2019-10-06,69,73,22,44,44,0,0,0,0,0
Texas,2019-10-13,68,74,20,42,33,0,0,0,0,0
Texas,2019-10-20,68,70,18,41,30,0,0,0,0,0
Texas,2019-10-27,64,69,21,40,28,0,0,0,0,0
Texas,2019-11-03,71,71,23,44,30,0,0,0,0,0
Texas,2019-11-10,74,73,22,42,30,0,0,0,0,0
Texas,2019-11-17,75,73,24,44,34,0,0,0,0,0
Texas,2019-11-24,48,64,21,27,22,0,0,0,0,0
Texas,2019-12-01,75,72,19,39,31,0,0,0,0,0
Texas,2019-12-08,73,68,23,38,27,0,0,0,0,0
Texas,2019-12-15,62,64,20,34,24,0,0,0,0,0
Texas,2019-12-22,43,57,18,19,18,0,0,0,0,0
Texas,2019-12-29,50,68,18,33,20,0,0,0,0,0
Texas,2020-01-05,57,72,18,43,27,0,0,0,0,0
Texas,2020-01-12,63,73,20,45,30,0,0,0,0,0
Texas,2020-01-19,62,72,20,44,30,0,0,0,0,0
Texas,2020-01-26,66,75,21,43,32,0,0,0,0,0
Texas,2020-02-02,66,71,17,47,31,0,0,0,0,0
Texas,2020-02-09,70,72,20,43,32,0,0,0,0,0
Texas,2020-02-16,68,83,23,45,31,0,0,0,0,0
Texas,2020-02-23,74,72,22,42,32,0,0,0,0,0
Texas,2020-03-01,68,69,23,44,35,0,0,0,0,0
Texas,2020-03-08,59,66,18,37,26,0,0,0,0,0
Texas,2020-03-15,67,66,14,26,21,0,0,0,0,0
Texas,2020-03-22,82,70,16,26,27,0,0,1,0,0
Texas,2020-03-29,85,74,17,27,27,1,0,1,0,1
Texas,2020-04-05,83,70,20,28,27,1,0,1,1,1
Texas,2020-04-12,81,66,20,27,29,1,0,1,1,1
Texas,2020-04-19,82,67,23,28,33,1,0,1,1,1
Texas,2020-04-26,78,70,25,30,32,1,0,1,1,1
Texas,2020-05-03,80,73,23,33,33,1,0,1,1,1
Texas,2020-05-10,68,72,22,30,29,1,0,1,1,1
Texas,2020-05-17,62,70,17,34,27,1,0,1,1,1
